fecha,valor
2019-10-08,6.297233
2019-10-09,6.297961
2019-10-10,6.298689
2019-10-11,6.299214
2019-10-12,6.29974
2019-10-13,6.300265
2019-10-14,6.30079
2019-10-15,6.301316
2019-10-16,6.301841
2019-10-17,6.302367
2019-10-18,6.302892
2019-10-19,6.303418
2019-10-20,6.303943
2019-10-21,6.304469
2019-10-22,6.304995
2019-10-23,6.30552
2019-10-24,6.306046
2019-10-25,6.306572
2019-10-26,6.308134
2019-10-27,6.309697
2019-10-28,6.31126
2019-10-29,6.312823
2019-10-30,6.314387
2019-10-31,6.315951
2019-11-01,6.317516
2019-11-02,6.319081
2019-11-03,6.320646
2019-11-04,6.322212
2019-11-05,6.323778
2019-11-06,6.325345
2019-11-07,6.326912
2019-11-08,6.328479
2019-11-09,6.330047
2019-11-10,6.331615
2019-11-11,6.332289
2019-11-12,6.332964
2019-11-13,6.333639
2019-11-14,6.334313
2019-11-15,6.334988
2019-11-16,6.335663
2019-11-17,6.336338
2019-11-18,6.337013
2019-11-19,6.337688
2019-11-20,6.338364
2019-11-21,6.339039
2019-11-22,6.339714
2019-11-23,6.34039
2019-11-24,6.341065
2019-11-25,6.341741
2019-11-26,6.34461
2019-11-27,6.34748
2019-11-28,6.350352
2019-11-29,6.353225
2019-11-30,6.356099
2019-12-01,6.358975
2019-12-02,6.361852
2019-12-03,6.36473
2019-12-04,6.367609
2019-12-05,6.37049
2019-12-06,6.373372
2019-12-07,6.376256
2019-12-08,6.37914
2019-12-09,6.382026
2019-12-10,6.384914
2019-12-11,6.385294
2019-12-12,6.385673
2019-12-13,6.386053
2019-12-14,6.386433
2019-12-15,6.386813
2019-12-16,6.387193
2019-12-17,6.387573
2019-12-18,6.387953
2019-12-19,6.388333
2019-12-20,6.388713
2019-12-21,6.389093
2019-12-22,6.389473
2019-12-23,6.389853
2019-12-24,6.390233
2019-12-25,6.390613
2019-12-26,6.392013
2019-12-27,6.393414
2019-12-28,6.394814
2019-12-29,6.396215
2019-12-30,6.397616
2019-12-31,6.399018
2020-01-01,6.400419
2020-01-02,6.401821
2020-01-03,6.403224
2020-01-04,6.404626
2020-01-05,6.406029
2020-01-06,6.407433
2020-01-07,6.408836
2020-01-08,6.41024
2020-01-09,6.411644
2020-01-10,6.413049
2020-01-11,6.414429
2020-01-12,6.41581
2020-01-13,6.417191
2020-01-14,6.418572
2020-01-15,6.419954
2020-01-16,6.421336
2020-01-17,6.422718
2020-01-18,6.4241
2020-01-19,6.425483
2020-01-20,6.426866
2020-01-21,6.42825
2020-01-22,6.429633
2020-01-23,6.431017
2020-01-24,6.432402
2020-01-25,6.433786
2020-01-26,6.434857
2020-01-27,6.435929
2020-01-28,6.437
2020-01-29,6.438072
2020-01-30,6.439144
2020-01-31,6.440216
2020-02-01,6.441288
2020-02-02,6.442361
2020-02-03,6.443433
2020-02-04,6.444506
2020-02-05,6.445579
2020-02-06,6.446652
2020-02-07,6.447725
2020-02-08,6.448799
2020-02-09,6.449872
2020-02-10,6.450946
2020-02-11,6.451423
2020-02-12,6.4519
2020-02-13,6.452377
2020-02-14,6.452854
2020-02-15,6.45333
2020-02-16,6.453807
2020-02-17,6.454284
2020-02-18,6.454761
2020-02-19,6.455238
2020-02-20,6.455715
2020-02-21,6.456193
2020-02-22,6.45667
2020-02-23,6.457147
2020-02-24,6.457624
2020-02-25,6.458101
2020-02-26,6.458664
2020-02-27,6.459227
2020-02-28,6.45979
2020-02-29,6.460353
2020-03-01,6.460916
2020-03-02,6.461478
2020-03-03,6.462042
2020-03-04,6.462605
2020-03-05,6.463168
2020-03-06,6.463731
2020-03-07,6.464294
2020-03-08,6.464857
2020-03-09,6.465421
2020-03-10,6.465984
2020-03-11,6.468021
2020-03-12,6.470059
2020-03-13,6.472097
2020-03-14,6.474136
2020-03-15,6.476175
2020-03-16,6.478215
2020-03-17,6.480256
2020-03-18,6.482297
2020-03-19,6.484339
2020-03-20,6.486382
2020-03-21,6.488425
2020-03-22,6.490469
2020-03-23,6.492514
2020-03-24,6.494559
2020-03-25,6.496605
2020-03-26,6.497033
2020-03-27,6.497461
2020-03-28,6.497889
2020-03-29,6.498318
2020-03-30,6.498746
2020-03-31,6.499174
2020-04-01,6.499602
2020-04-02,6.50003
2020-04-03,6.500459
2020-04-04,6.500887
2020-04-05,6.501315
2020-04-06,6.501743
2020-04-07,6.502172
