fecha,fix,inpc,tasa_obj,fix_var_m,inpc_var_m,tasa_obj_var_m,fix_var_a,inpc_var_a
2019-11-30,19.5352,6.356099,7.5,1.7733969616771095,0.6356604096516838,-0.25,-3.982698876901536,3.0551083310228933
2019-12-31,18.8642,6.399018,7.25,-3.4348253409230534,0.675241213203237,-0.25,-4.00484448786842,2.768543695619674
2020-01-31,18.9082,6.440216,7.25,0.2332460427688421,0.643817535753155,0.0,-0.6859676030001816,3.0831223854939527
2020-02-29,19.776,6.460353,7.0,4.589543161168175,0.3126758481392322,-0.25,2.675396013644371,3.35141030971573
2020-03-31,23.4847,6.499174,6.5,18.75353964401294,0.6009114362636181,-0.5,21.193214951052486,3.810256734627915
2020-04-30,23.9283,6.437468,6.0,1.8888893620101488,-0.9494437293108282,-0.5,25.87283468087682,2.5508077061241696
2020-05-31,22.1778,6.425677,5.5,-7.315605371045997,-0.18316207552410146,-0.5,12.906641686945708,2.4422366372004234
2020-06-30,23.0893,6.443804,5.0,4.10996582167753,0.2821025706707614,-0.5,20.202304164258898,2.9560501381177273
2020-07-31,22.2012,6.496141,5.0,-3.8463703966772567,0.8122065785985955,0.0,16.892101785404034,3.5321944507884506
2020-08-31,21.888,6.525312,4.5,-1.410734554888915,0.44905121363589817,-0.5,9.060469565910623,3.784031383426667
2020-09-30,22.1438,6.549579,4.25,1.1686769005847752,0.37189026363797506,-0.25,12.208568750158344,4.103499199146254
2020-10-31,21.2508,6.567944,4.25,-4.032731509497001,0.28039970202664577,0.0,10.71123429262093,3.9897871278608665
2020-11-30,20.1398,6.60193,4.25,-5.2280384738456975,0.5174526457594641,0.0,3.094926082149163,3.867639569490655
2020-12-31,19.9087,6.605597,4.25,-1.1474791209446056,0.05554436354218151,0.0,5.536942992546723,3.2282922160869143
2021-01-31,20.2248,6.644764,4.25,1.5877480699392654,0.5929365657638463,0.0,6.9631165314519405,3.1761046523905323
2021-02-28,20.939,6.702835,4.0,3.531308096989849,0.873936230090333,-0.25,5.880865695792892,3.7533862313715805
2021-03-31,20.44,6.748761,4.0,-2.383112851616598,0.6851727664488161,0.0,-12.964611002056659,3.840288011984283
2021-04-30,20.1822,6.791518,4.0,-1.261252446183947,0.6335533292703754,0.0,-15.65552086859492,5.4998331642192255
2021-05-31,19.9213,6.810965,4.0,-1.292723290820641,0.2863424642326029,0.0,-10.174589003417845,5.996068585458003
2021-06-30,19.9062,6.830377,4.25,-0.07579826617740704,0.2850110079849255,0.25,-13.786039420857287,5.999142742392549
2021-07-31,19.8455,6.869301,4.25,-0.3049301222734502,0.5698660557096558,0.0,-10.610687710574195,5.744333443501315
2021-08-31,20.0605,6.900926,4.5,1.0833690257237238,0.46038163126058684,0.25,-8.34932383040936,5.756261156554676
2021-09-30,20.5623,6.922358,4.5,2.5014331646768584,0.3105670166583474,0.0,-7.141953955508984,5.691648272354621
2021-10-31,20.5297,6.97024,4.75,-0.15854257549010597,0.6917007181656887,0.25,-3.3932840175428858,6.125143576132808
2021-11-30,21.4453,7.036693,5.0,4.459880076182321,0.9533818060784016,0.25,6.48218949542696,6.5853924534189145
2021-12-31,20.4672,7.108233,5.5,-4.560906119289543,1.0166707571298117,0.5,2.8053062229075554,7.609244100116919
2022-01-31,20.6352,7.123812,5.5,0.8208255159474875,0.21916839248234954,0.0,2.029191883232473,7.209405781755374
2022-02-28,20.4257,7.176212,6.0,-1.0152554857718932,0.7355612416498403,0.5,-2.451406466402417,7.0623400396996105
